LICENSENO,BUSINESSNAME,DBANAME,COMMENTS,LOCATIONCOMMENTS,ISSDTTM,EXPDTTM,LICSTATUS,LICCAT,LICCATDESC,OPENING,CLOSING,PATRONSOUT,CAPACITY,PRIMAPPLICANT,PHONE,STNO,STNOHI,Address,CITY,STATE,ZIP,Location,LT,LO,Latitude,Longitude
LB-99410,"NOLAN ASSOCIATES, LLC",THE LANDING,,In whole of said building with outdoor patio and bar area on adjacent wharf area.,2013-11-21,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,11:00 PM,11:30 PM,347,"NOLAN ASSOCIATES, LLC",NULL,6,,Long Wh,Boston,MA,02110,"(42.36014, -71.050295)",(42.36014, -71.050295),42.36014, -71.050295
LB-99129,"CHLN, INC.",THE CHART HOUSE,,Capacity breakdown: 1st fl - 133; 2nd fl - 75; basement - 89. IN WHOLE OF SAID BUILDING AND TO INCLUDE TWO (2) OUTDOOR PATIOS.  FRONT PATIO WITH SEATING FOR 76 PATRONS.  REAR PATIO WITH SEATING FOR 72.  PATIO HOURS OF OPERATION 11:30-11:00 PM.,2013-11-21,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,297,"CHLN, INC.",NULL,58,60,  Long Wharf RO,Boston,MA,02110,"(42.360145, -71.049594)",(42.360145, -71.049594),42.360145, -71.049594
LB-99519,"PURSUIT, INC.",THE WALRUS & CARPENTER,,Entrance on corridor; exits immediately adjacent to Bay 93 & 95 across corridor; In one room  kitchen and stockroom on first floor.  200 FANEUIL HALL MARKETPLACE  BOSTON  MA  02110,2013-11-20,2015-12-31,Active,CV7MW,CV7 Malt Wine,NULL,1:00 AM,1:30 AM,35,"PURSUIT, INC.",NULL,200,,Faneuil Hall Marketplace ,Boston,MA,02109,"(42.360199, -71.054798)",(42.360199, -71.054798),42.360199, -71.054798
LB-99550,BOSTON & MAINE FISH COMPANY,BOSTON & MAINE FISH COMPANY,Glass mugs with name of premises on them.  11 PM closing. Roped off area only.,@ 200 Faneuil Hall Marketplace: in one room with kitchen area  and stock stored on premises.,2013-11-13,2015-12-31,Active,CV7MW,CV7 Malt Wine,NULL,11:00 PM,11:30 PM,23,BOSTON & MAINE FISH COMPANY,NULL,200,,Faneuil Hall Marketplace ,Boston,MA,02109,"(42.360199, -71.054798)",(42.360199, -71.054798),42.360199, -71.054798
LB-101581,"MONDAY AFTERNOON, INC.",BEACON HILL PUB,Go to document #00010L on reverse side,Rear exit to alley; in two rooms and kitchen on first floor; cellar for stock.  149A CHARLES STREET  BOSTON  MA  02114,2013-11-26,2015-12-31,Active,GOPAL,GOP All Alc.,NULL,2:00 AM,2:30 AM,268,"MONDAY AFTERNOON, INC.",NULL,149,,  Charles ST,Boston,MA,02114,"(42.360479, -71.070569)",(42.360479, -71.070569),42.360479, -71.070569
LB-101630,BOSTONIAN HOTEL LIMITED PARTNERSHIP,"MILLENNIUM BOSTONIAN HOTEL, BOSTON",,IN WHOLE OF SAID BUILDING; AND TO INCLUDE AN OUTSIDE SEASONAL TERRACE/PATIO FROM APRIL THROUGH OCTOBER FOR 24 PATRONS BETWEEN THE HOURS OF 8:00 A.M. - 11:00 P.M. EXCEPTING THEREFROM 1250 SQUARE FEET OF RETAIL SPACE ON FIRST FLOOR OF CORNER OF NORTH AND BLACKSTONE STREET.,2013-11-18,2015-12-31,Active,INNAL,Inn. All Alc.,NULL,2:00 AM,NULL,0,BOSTONIAN HOTEL LIMITED PARTNERSHIP,NULL,20,60,  North ST,Boston,MA,02109,"(42.360699, -71.056342)",(42.360699, -71.056342),42.360699, -71.056342
LB-99168,"KOREAN FUSION, INC.",KOY,ALCOHOLIC BEVERAGES TO BE SERVED IN CONJUNCTION WITH BRUNCH ON SUNDAYS 10:00 A.M.,In one (1) room with main bar on the right hand side wall of restaurant with seventy-two (72 seats) and outside sidewalk dining area with twelve (12) seats.  Kitchen and cold storage located in the rear of the premises.  Premises consists of 3 193 sq. ft. of ground-level space  3 343 sq. ft. of lowe,2013-11-14,2016-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,64,"KOREAN FUSION, INC.",(978)852-0113,16,18,  North ST,Boston,MA,02109,"(42.360718, -71.056455)",(42.360718, -71.056455),42.360718, -71.056455
LB-99263,Baird Hospitality LLC,THE BLACKSTONE GRILL,NONE,In one room and kitchen on the first floor; Cellar for stock.,2013-11-29,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,109,BAIRD HOSPITALITY LLC,NULL,15,,  Union ST,Boston,MA,02108,"(42.360853, -71.056685)",(42.360853, -71.056685),42.360853, -71.056685
LB-98970,"BEACON FINE DINING, INC.",HARVARD GARDENS,Open on Sundays at 10:00 A.M. for the sale of Alcoholic Beverages with Brunch.,One emergency exit in rear to alley-in one room and kitchen first floor; cellar for stock-with a capacity of 190 persons Deleting all of the second floor and 133 in capacity.,2013-11-26,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,190,"BEACON FINE DINING, INC.",NULL,310,320,  Cambridge ST,Boston,MA,02114,"(42.36093, -71.06901)",(42.36093, -71.06901),42.36093, -71.06901
LB-98992,"HARD ROCK CAFE INTERNATIONAL (STP), INC.",HARD ROCK CAFÉ,(1)10:00 A.M. OPENING ON SUNDAYS FOR SERVICE OF ALCOHOL WITH BRUNCH.,ON GROUND FLOOR OF DOCK SQUARE GARAGE  IN ONE ROOM AND KITCHEN WITH STORAGE IN 5 ROOMS IN REAR AND TO INCLUDE AN OUTDOOR SEASONAL PATIO FROM APRIL - NOVEMBER FOR 72 PATRONS ON PRIVATE PROPERTY.,2013-11-26,2016-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,680,"HARD ROCK CAFE INTERNATIONAL (STP), INC.",NULL,20,,  Clinton ST,Boston,MA,02109,"(42.360961, -71.054946)",(42.360961, -71.054946),42.360961, -71.054946
LB-99749,"KMHW, INC.",SEOUL,1.) SERVICE BAR ONLY 2.) ALCOHOL TO BE SERVED IN CONJUNCTION WITH FOOD ONLY.,IN ONE ROOM ON THE FIRST FLOOR  KITCHEN AND STORAGE IN THE BASEMENT.,2013-11-27,2015-12-31,Active,CV7MWL,CV7 Malt Wine Liq.,NULL,12:00 AM,12:30 AM,100,"KMHW, INC.",NULL,156,,  Cambridge ST,Boston,MA,02114,"(42.360978, -71.064668)",(42.360978, -71.064668),42.360978, -71.064668
LB-98969,"SPORTER'S CAFE, INC.",THE HILL,PATIO CONDITIONS:  1.) ALCOHOL SERVICE ONLY IN CONJUNCTION WITH FOOD  2.) MUST BE STAFFED AT ALL TIMES.,IN ONE ROOM AND KITCHEN  FIRST FLOOR BASEMENT FOR STOCK AND TO INCLUDE AN OUTDOOR SEASONAL PATIO FOR 20 PATRONS BETWEEN THE HOURS OF NOON AND 11:00 P.M. DPW LAND,2013-11-26,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,150,"SPORTER'S CAFE, INC.",NULL,228,,  Cambridge ST,Boston,MA,02114,"(42.360985, -71.06661)",(42.360985, -71.06661),42.360985, -71.06661
LB-99571,"OMEGA SUSHI, INC.",FIN'S SUSHI & GRILL,,ONE ROOM AND KITCHEN FIRST FLOOR- BASEMENT FOR STOCK & STORAGE.  CAPACITY BREAKDOWN: 10 @ BAR STOOLS; 50 @ TABLES & CHAIRS.,2013-11-18,2015-12-31,Active,CV7MW,CV7 Malt Wine,NULL,11:00 PM,11:30 PM,60,"OMEGA SUSHI, INC.",NULL,236,240,  Cambridge ST,Boston,MA,02114,"(42.360991, -71.066822)",(42.360991, -71.066822),42.360991, -71.066822
LB-98968,"TIP TAP ROOM, INC.",TIP TAP ROOM,,Unnumbered side exit on Ridgeway Lane - Two rooms and kitchen first floor; cellar for stock.,2013-11-26,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,145,"TIP TAP ROOM, INC.",NULL,138,,  Cambridge ST,Boston,MA,02114,"(42.361003, -71.063928)",(42.361003, -71.063928),42.361003, -71.063928
LB-99420,"SOMERS BOSTON RESTAURANTS, INC.",HENNESSY'S OF BOSTON,1'st floor 157 during the day  250 @ night  2'nd floor 262,IN ONE ROOM ON FIRST FLOOR  WITH KITCHEN AND RESTROOMS; ONE ROOM ON THE SECOND FLOOR WITH RESTROOMS  BASEMENT FOR STORAGE; ENTRANCE/EXITS ONTO UNION STREET  REAR  EXIT ONTO PUBLIC ALLEY.,2013-11-27,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,512,"SOMERS BOSTON RESTAURANTS, INC.",NULL,25,,  Union ST,Boston,MA,02108,"(42.361014, -71.056731)",(42.361014, -71.056731),42.361014, -71.056731
LB-98924,"SNP RESTAURANT GROUP, LLC",RED HAT CAFÉ,1. Delivery on Bowdoin Street  not in alley. 2. Keep corner clear. 3. Food avalilable at all times. 4. Lunch & Dinner menus.,Rear exit to alley  One room and kitchen first floor; one room  kitchen and stockroom second floor.  CAPACITY BREAKDOWN: 1ST FL - 57; BASEMENT - 51.,2013-11-27,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,108,"SNP RESTAURANT GROUP, LLC",NULL,9,,  Bowdoin ST,Boston,MA,02114,"(42.36102, -71.06319)",(42.36102, -71.06319),42.36102, -71.06319
LB-99871,SAUS BOSTON LLC,SAUS,1.) MALT ONLY 2.) 2:00 A.M. CLOSING HOUR ON FRIDAYS AND SATURDAYS FOR SERVICE OF FOOD ONLY.,1800 SQUARE FEET W/800 SQ FEET ON FIRST FLOOR & 1000 SQ FEET IN BASEMENT.  PREP KITCHEN IN BASEMENT  1 UNISEX BATHROOM IN BASEMENT  AND KITCHEN ON 1ST FLOOR.  ENTRANCE AT FRONT; SIDE DOOR EXIT AND REAR EXIT IN BASEMENT.,2013-11-13,2015-12-31,Active,CV7MWR,CV7 Malt Wine Restrict.,NULL,12:00 AM,12:30 AM,22,SAUS BOSTON LLC,NULL,33,,  Union ST,Boston,MA,02108,"(42.36117, -71.05678)",(42.36117, -71.05678),42.36117, -71.05678
LB-99137,"JOHN J. SOMERS CO.,INC.",GREEN DRAGON TAVERN,ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH BRUNCH ON SUNDAYS: FROM - 11AM TO NOON.,In two rooms and kitchen on first floor; rear room and cellar for stock.,2013-11-27,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,149,"JOHN J. SOMERS CO.,INC.",NULL,11,,  Marshall ST,Boston,MA,02108,"(42.361469, -71.056839)",(42.361469, -71.056839),42.361469, -71.056839
LB-99264,OLD COLONIAL CORPORATION,BELL IN HAND,,Unnumbered entrance and exit on Marshall Street; in three rooms and kitchen on the first floor; cellar for stock and one large room on the second floor.  Capacity breakdown: 1st fl - 296; 2nd fl - 200.,2013-11-14,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,496,OLD COLONIAL CORPORATION,NULL,45,55,  Union ST,Boston,MA,02108,"(42.3616, -71.05706)",(42.3616, -71.05706),42.3616, -71.05706
LB-98914,SOMERS FIVE CORP.,DURTY NELLY'S,OUTDOOR SEASONAL PATIO OPERATING HOURS ARE 10:00 AM - 10:00 PM.,ON 1ST FLOOR  IN ONE ROOM AND A KITCHEN; ON 2ND FLOOR  IN ONE ROOM; AND ON 3RD FLOOR  STOCK.  INCLUDES AN OUTDOOR SEASONAL PATIO FROM APRIL - OCTOBER FOR 20 PATRONS.  INDOOR CAPACITY BREAKDOWN: 1ST FL - 26  2ND FL - 20.,2013-11-27,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,46,SOMERS FIVE CORP.,NULL,108,112,  Blackstone ST,Boston,MA,02109,"(42.361696, -71.056576)",(42.361696, -71.056576),42.361696, -71.056576
LB-98891,"ATLANTIC 101, INC.",THE LIVING ROOM,(1) Filtering System. (2) Trash stored inside. (3) Deliveries on Richmond St. between 7 AM and 6 PM. (4)Closing hour on Thursdays  Fridays  Saturdays and Private Events is 2:00 A.M.,Mercantile Wharf Building - Bays 7 8 9; In two rooms  and an enlarged kitchen on the first floor; cellar for stock; plus outdoor patio; with a decrease in capacity to 240.,2013-11-25,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,1:00 AM,1:30 AM,240,"ATLANTIC 101, INC.",NULL,101,,  Atlantic AV,Boston,MA,02110,"(42.361781, -71.052341)",(42.361781, -71.052341),42.361781, -71.052341
LB-101614,"BHR OPERATIONS, L.L.C.",WYNDHAM BOSTON BEACON HILL,,Four entrances; exits on ground floor; one entrance; exit on 2nd floor; In whole of building    (SEE ISD CERTIFICATE FOR MORE COMPLETE DESCRIPTION OF CAPACITY.),2013-11-12,2015-12-31,Active,INNAL,Inn. All Alc.,NULL,2:00 AM,NULL,0,"BHR OPERATIONS, L.L.C.",NULL,5,,  Blossom ST,Boston,MA,02114,"(42.36185, -71.06661)",(42.36185, -71.06661),42.36185, -71.06661
LB-99309,"ALLSTON RESTAURANT GROUP, LLC",LOCAL 458,Open at 10:00 A.M. on Sundays for the service of food only. ONE coin-operated pool table. PATIO CONDITIONS: 1) TO BE STAFFED AT ALL TIMES; 2) ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS; 3) NO ENTERTAINMENT; AND 4) HOURS OF OPERATION: 11:00 AM - 9:00 PM MONDAY-WEDNESDAY  11:00 AM - 10:00 PM THURSDAY - SATURDAY  NOON - 9:00 PM ON SUNDAYS.,ONE ROOM ON FIRST FLOOR  ENTRANCE AT FRONT  WITH BAR AND SEATING AT FRONT AND RESTAURANT SEATING AREA; LOWER LEVEL WITH BAR AND RESTAURANT SEATING  KITCHEN AT REAR.,2013-11-26,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,143,"ALLSTON RESTAURANT GROUP, LLC",(617)964-6684,458,,  Western AV,Brighton,MA,02135,"(42.361959, -71.142208)",(42.361959, -71.142208),42.361959, -71.142208
LB-98890,"BBRG WATERFRONT TR, LLC",JOE'S AMERICAN BAR & GRILL,1. Table seating Only. 2. No Standees. 3. Alcoholic beverages with menu items only  after 6 PM. 4. Must be off the patio by 11:00 P.M.,One room & kitchen first floor with emergency exits to Commercial Wharf & one to Atlantic Ave. with outdoor patio on Atlantic Ave.And on the deck on the Southerly sides of the first floor  one room and kitchen second floor with emergency exits to Commercial Wharf. The capacity of 138 on 1st floor  1,2013-11-25,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,1:00 AM,1:30 AM,384,"BBRG WATERFRONT TR, LLC",NULL,100,,  Atlantic AV,Boston,MA,02111,"(42.361967, -71.050671)",(42.361967, -71.050671),42.361967, -71.050671
LB-101667,DON'T LOOK BACK LESSEE,LIBERTY HOTEL,NONE,IN WHOLE OF SAID BUILDING WITH THE EXCEPTION OF THE FIRST FLOOR RESTAURANT  BAR  KITCHEN AND STORAGE  ON THE FIRST FLOOR AND TWO OUTDOOR SEASONAL SEATING AREAS ADJACENT THERETO.,2013-11-18,2015-12-31,Active,INNAL,Inn. All Alc.,NULL,2:00 AM,2:30 AM,0,DON'T LOOK BACK LESSEE,NULL,215,,  Charles ST,Boston,MA,02114,"(42.36203, -71.070362)",(42.36203, -71.070362),42.36203, -71.070362
LB-99376,"BIG HOUSE FINE DINING, LLC",SCAMPO & ALIBI,PATIO HOURS: 11:00 A.M. - 2:00 A.M.  ALCOHOLIC BEVERAGES SERVED IN CONJUNCTION WITH BRUNCH ON SUNDAYS 10:00 A.M.  BOTTLE SERVICE APPROVED FOR ALIBI.,IN FOUR ROOMS A RESTAURANT  BAR  KITCHEN AND STORAGE AREA ON THE FIRST FLOOR AND TO INCLUDE TWO OUTDOOR SEASONAL SEATING AREAS BETWEEN MAY THROUGH SEPTEMBER.  CAPACITY BREAKDOWN: ALIBI INSIDE - 185 (83 SEATED  102 STANDING); ALIBI OUTSIDE - 160; SCAMPO INSIDE - 267 (153 SEATED  54 STANDING); SCAMPO,2013-11-26,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,392,"BIG HOUSE FINE DINING, LLC",NULL,215,,  Charles ST,Boston,MA,02114,"(42.36203, -71.070362)",(42.36203, -71.070362),42.36203, -71.070362
LB-98895,"M. COOKE, INC.",THE BOSTON SAIL LOFT,,Two emergency exits leading to alleyway; in one room  kitchen and exterior deck on the first floor; closet area for stock.,2013-11-25,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,200,"M. COOKE, INC.",NULL,80,,  Atlantic AV,Boston,MA,02110,"(42.362516, -71.050719)",(42.362516, -71.050719),42.362516, -71.050719
LB-99356,"MOTHER ANNA'S, INC.",MOTHER ANNA'S REST,PATIO CONDITIONS:  1.) 50 SEATS  2.) 11:00 P.M. CLOSING HOUR  3.) ALCOHOL SERVICE ONLY IN CONJUNCTION WITH FOOD  4.) MUST BE STAFFED AT ALL TIMES.,Unnumbered side and front entrances for summer garden and stock - In two rooms and kitchen first floor - storage and one room in cellar used for dining and to include an outdoor seasonal patio from April through October on private property.,2013-11-12,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,73,"MOTHER ANNA'S, INC.",NULL,211,,  Hanover ST,Boston,MA,02113,"(42.362698, -71.055309)",(42.362698, -71.055309),42.362698, -71.055309
LB-99665,"VIVA BURRITO BOSTON, INC.",VIVA BURRITO,CLOSING HOUR ON SUNDAYS IS9:30 P.M.,IN ONE ROOM ON THE FIRST FLOOR KITCHEN IN THE REAR  STORAGE IN THE BASEMENT.,2014-03-10,2015-12-31,Active,CV7MW,CV7 Malt Wine,NULL,11:00 PM,11:30 PM,38,"VIVA BURRITO BOSTON, INC.",NULL,66,,  Staniford ST,Boston,MA,02114,"(42.362733, -71.06423)",(42.362733, -71.06423),42.362733, -71.06423
LB-99596,"FULL COMP, INC.",MARE,NONE,IN TWO ROOMS WITH KITCHEN ON THE FIRST FLOOR  BASEMENT FOR STORAGE AND PREP KITCHEN  OUTDOOR PATIO ON PRIVATE PROPERTY WITH 48 SEATS.,2013-11-27,2015-12-31,Active,CV7MWL,CV7 Malt Wine Liq.,NULL,12:00 AM,12:30 AM,26,"FULL COMP, INC.",(617)880-9919,1,4,  Mechanic CT,Boston,MA,02113,"(42.362904, -71.054999)",(42.362904, -71.054999),42.362904, -71.054999
LB-99746,DUARTE CORP.,TARANTA,1.  Malt  Wine and Liqueurs to be seved only in conjunction with meals.  2.  No bar.,In one room on the first floor with kitchen in the rear  one room on the second floor  storage in the basement.  Capacity breakdown: 1st fl - 30; 2nd fl - 40.,2013-11-19,2015-12-31,Active,CV7MWL,CV7 Malt Wine Liq.,NULL,12:00 AM,12:30 AM,70,DUARTE CORP.,NULL,210,,  Hanover ST,Boston,MA,02113,"(42.362919, -71.05563)",(42.362919, -71.05563),42.362919, -71.05563
LB-99637,"ASILLEM, LLC",STONE HEARTH PIZZA CO.,NONE,IN ONE (1) ROOM ON FIRST FLOOR WITH KITCHEN AND STORAGE  ENTRANCE ON WESTERN AVENUE WITH EMERGENCY EXIT TO PARKING AREA AND OUTDOOR SEASONAL SEATING FOR 20 PATRONS ON PRIVATE PROPERTY BETWEEN THE HOURS OF 11:00 A.M. - 11:00 P.M.,2013-11-29,2015-12-31,Active,CV7MW,CV7 Malt Wine,NULL,11:00 PM,11:30 PM,46,"ASILLEM, LLC",NULL,182,,  Western AV,Allston,MA,02134,"(42.362961, -71.129376)",(42.362961, -71.129376),42.362961, -71.129376
LB-99491,TRESCA RESTAURANT GROUP LLC,TRESCA,1) BAR TO HAVE NO MORE THAN 10 SEATS AND SEATING BY MAITRE'D ONLY AT THE BAR. 2) 12:30 A.M. CLOSING HOUR THURSDAY/FRIDAY/SATURDAY.ALL PATRONS OFF PREMISES BY 1:00 A.M. 3) ACCORDIAN WINDOWS CLOSED BY MIDNIGHT.,ENTIRE 2ND FLOOR  DINING ROOM  KITCHEN  WINE BOX ROOM AND 2 BATHROOMS; FIRST FLOOR; DINING ON LEFT SIDE  BAR ON RIGHT SIDE  BATHROOM; BASEMENT; ONE BATHROOM  OFFICE  WINE CELLAR   STORAGE. Capacity breakdown: 1st fl - 50  2nd fl - 70.,2013-11-27,2015-12-31,Active,CV7ALR,CV7 All Alc. Restrict.,NULL,12:00 AM,12:30 AM,120,TRESCA RESTAURANT GROUP LLC,NULL,227,237,  Hanover ST,Boston,MA,02113,"(42.362994, -71.055043)",(42.362994, -71.055043),42.362994, -71.055043
LB-99308,"C & H, INC.",BUS STOP PUB,Food to be available at all times.,Rear emergency exit; in one room on the first floor; cellar for stock and enclose the porch as a part of room on first floor.,2013-11-14,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,193,"C & H, INC.",NULL,252,,  Western AV,Allston,MA,02134,"(42.363164, -71.132799)",(42.363164, -71.132799),42.363164, -71.132799
LB-99709,"BIG BAD DOG, LLC",VITO'S BURRITOS,NONE,54 SALEM STREET; IN ONE ROOM AND A KITCHEN ON THE FIRST FLOOR WITH STORAGE IN THE BASEMENT.,2013-11-22,2015-12-31,Active,CV7MWL,CV7 Malt Wine Liq.,NULL,1:00 AM,1:30 AM,68,"BIG BAD DOG, LLC",NULL,54,,  Salem ST,Boston,MA,02113,"(42.363196, -71.056279)",(42.363196, -71.056279),42.363196, -71.056279
LB-99085,"CAFFE PARADISO, INC.",CAFFE PARADISO,,In one room on the first floor with food prep area; basement for stock; one room in the basement for patrons.  Capacity breakdown: 1st fl - 80; basement - 50.,2013-11-26,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,130,"CAFFE PARADISO, INC.",NULL,255,,  Hanover ST,Boston,MA,02113,"(42.363223, -71.054789)",(42.363223, -71.054789),42.363223, -71.054789
LB-99541,"NEPTUNE OYSTER, LLC",NEPTUNE OYSTER,,In one room and kitchen on first floor; basement for stock and storage prep area.,2013-11-27,2015-12-31,Active,CV7MW,CV7 Malt Wine,NULL,12:00 AM,12:30 AM,30,"NEPTUNE OYSTER, LLC",NULL,63,,  Salem ST,Boston,MA,02113,"(42.36323, -71.05594)",(42.36323, -71.05594),42.36323, -71.05594
LB-99720,"MODERN PASTRY, INC.",MODERN PASTRY,1.) ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS.  2.) NO BAR,IN ONE ROOM AND KITCHEN ON FIRST FLOOR WITH STORAGE IN BASEMENT.  REAR EXIT TO RICHMOND STREET.,2013-11-19,2015-12-31,Active,CV7MWL,CV7 Malt Wine Liq.,NULL,12:00 AM,12:30 AM,19,"MODERN PASTRY, INC",NULL,257,,  Hanover ST,Boston,MA,02113,"(42.363247, -71.054762)",(42.363247, -71.054762),42.363247, -71.054762
LB-99731,"MODERN PASTRY, INC.",NULL,NONE,ONE ROOM ON THE FIRST FLOOR  STORAGE AND KITCHEN IN THE REAR; ONE ROOM IN THE BASEMENT.  Capacity breakdown: 1st fl - 80; basement - 40. KITCHEN IN BASEMENT.,2013-11-01,2015-12-31,Active,CV7MWL,CV7 Malt Wine Liq.,NULL,12:00 AM,12:30 AM,94,"MODERN PASTRY, INC",(781)589-6571,261,263,  Hanover ST,Boston,MA,02113,"(42.36329, -71.0547)",(42.36329, -71.0547),42.36329, -71.0547
LB-98898,"VILLA FRANCESCA'S, INC.",FRANCESCA'S,1. ALCOHOL ONLY WITH FOOD.,IN TWO ROOMS & KITCHEN ON FIRST FLOOR  TWO ROOMS IN BASEMENT WITH STORAGE.  CAPACITY BREAKDOWN: BASEMENT - 44; 1ST FL - 85.,2013-11-25,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,12:30 AM,1:00 AM,129,"VILLA FRANCESCA'S, INC.",NULL,150,,  Richmond ST,Boston,MA,02113,"(42.363348, -71.054559)",(42.363348, -71.054559),42.363348, -71.054559
LB-99606,"GAMBROS, INC.",ERNESTOS PIZZERIA,NONE,ON FIRST FLOOR; IN ONE ROOM; KITCHEN IN THE REAR; EXIT AT THE FRONT; EXIT AT THE REAR IN KITCHEN; STORAGE IN BASEMENT; HANDICAPPED ACCESSIBLE RESTROOM.,2013-11-15,2015-12-31,Active,CV7MW,CV7 Malt Wine,NULL,11:00 PM,11:30 PM,40,"GAMBROS, INC.",NULL,69,,  Salem ST,Boston,MA,02113,"(42.36335, -71.05584)",(42.36335, -71.05584),42.36335, -71.05584
LB-99726,"RABIA'S, INC.",RABIA'S,Malt and Wine with Liqueurs to be served only in conjunction with meals.,IN TWO ROOMS ON THE FIRST FLOOR; KITCHEN AND STORAGE IN THE REAR.,2013-11-25,2015-12-31,Active,CV7MWL,CV7 Malt Wine Liq.,NULL,11:00 PM,11:30 PM,62,"RABIA'S, INC.",NULL,71,73,  Salem ST,Boston,MA,02113,"(42.363371, -71.055799)",(42.363371, -71.055799),42.363371, -71.055799
LB-99706,"RISTORANTE LIMONCELLO, INC.",Limoncello Restaurant,NONE,EXITS IN REAR; IN ONE ROOM AND KITCHEN ON THE FIRST FLOOR; CELLAR FOR STOCK.,2013-11-25,2015-12-31,Active,CV7MWL,CV7 Malt Wine Liq.,NULL,1:00 AM,1:30 AM,120,"RISTORANTE LIMONCELLO, INC.",NULL,190,,  North ST,Boston,MA,02113,"(42.363379, -71.053961)",(42.363379, -71.053961),42.363379, -71.053961
LB-99599,RED D. CORPORATION,RED DOOR,,In one room  with kitchen  storage and bathrooms in basement  front and rear exit.,2013-11-27,2015-12-31,Active,CV7MW,CV7 Malt Wine,NULL,11:00 PM,11:30 PM,19,RED D. CORPORATION,NULL,33,,  North SQ,Boston,MA,02113,"(42.3635, -71.05386)",(42.3635, -71.05386),42.3635, -71.05386
LB-99778,"IL PANINO EXPRESS, INC.","QUATTRO RISTORANTE, GRILL & PIZZERIA",1.) ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS. CLOSING HOURS: 11:00 P.M.: SUNDAY-THURSDAY & MIDNIGHT: FRIDAY & SATURDAY.,IN ONE ROOM ON THE FIRST FLOOR  KITCHEN IN THE REAR  STORAGE IN THE BASEMENT  ONE ENTRANCE ON HANOVER STREET AND ONE ON PARMENTER STREET.,2013-11-18,2015-12-31,Active,CV7MWL,CV7 Malt Wine Liq.,NULL,11:00 PM,11:30 PM,48,"IL PANINO EXPRESS, INC.",NULL,264,266,  Hanover ST,Boston,MA,02113,"(42.363585, -71.054861)",(42.363585, -71.054861),42.363585, -71.054861
LB-99193,JOHNNIE'S ON THE SIDE LLC,West End Johnnie's,ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH BRUNCH ON SUNDAYS: FROM - 11:00 AM TO NOON.,IN ONE ROOM AND KITCHEN ON THE FIRST FLOOR  ONE ROOM AND KITCHEN IN BASEMENT.  Capacity breakdown: 1st fl - 234 (135 seated  99 standing); basement - 194 (87 seated  107 standing).,2013-11-12,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,428,JOHNNIE'S ON THE SIDE LLC,NULL,138,,  Portland ST,Boston,MA,02114,"(42.363627, -71.06129)",(42.363627, -71.06129),42.363627, -71.06129
LB-99595,ANTHONY OLIVIERO & LUIGI SODANO,II NIDO,NONE,On ground floor  dining room  with kitchen  office and storage on lower level.  CAPACITY BREAKDOWN: BASEMENT - 40; 1ST FL - 40.,2013-11-25,2015-12-31,Active,CV7MW,CV7 Malt Wine,NULL,12:00 AM,12:30 AM,80,ANTHONY OLIVIERO & LUIGI SODANO,NULL,257,259,  North ST,Boston,MA,02113,"(42.363662, -71.051888)",(42.363662, -71.051888),42.363662, -71.051888
